,Unnamed: 0.1,Unnamed: 0,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s,entry,exit,filename,train
16,16,60,86,257,159,171,27189,2022-09-22 10:11:08.627,2022-09-22 10:11:09.000,0.373,medium,medium_big,0 days 00:05:58.627000,0 days 00:05:59,357,359,358.627,359.0,train_16.wav,True
17,17,62,100,274,165,174,28710,2022-09-22 10:11:10.787,2022-09-22 10:11:11.173,0.386,medium,medium_big,0 days 00:06:00.787000,0 days 00:06:01.173000,359,361,360.787,361.173,train_17.wav,True
18,18,64,119,279,165,160,26400,2022-09-22 10:12:01.362,2022-09-22 10:12:01.775,0.413,medium,medium_small,0 days 00:06:51.362000,0 days 00:06:51.775000,410,412,411.362,411.775,train_18.wav,True
19,19,66,331,493,183,162,29646,2022-09-22 10:12:16.402,2022-09-22 10:12:16.882,0.48,medium,medium,0 days 00:07:06.402000,0 days 00:07:06.882000,425,427,426.402,426.882,train_19.wav,True
20,20,68,387,563,193,176,33968,2022-09-22 10:13:22.592,2022-09-22 10:13:23.045,0.453,medium,medium_big,0 days 00:08:12.592000,0 days 00:08:13.045000,491,493,492.592,493.045,train_20.wav,True
21,21,70,97,259,186,162,30132,2022-09-22 10:13:33.032,2022-09-22 10:13:33.472,0.44,medium,medium,0 days 00:08:23.032000,0 days 00:08:23.472000,502,504,503.032,503.472,train_21.wav,True
22,22,72,114,278,150,164,24600,2022-09-22 10:13:45.205,2022-09-22 10:13:45.673,0.468,medium,medium,0 days 00:08:35.205000,0 days 00:08:35.673000,514,516,515.205,515.673,train_22.wav,True
23,23,74,105,278,152,173,26296,2022-09-22 10:14:11.606,2022-09-22 10:14:12.034,0.428,medium,medium_big,0 days 00:09:01.606000,0 days 00:09:02.034000,540,542,541.606,542.034,train_23.wav,True
24,24,76,358,606,340,248,84320,2022-09-22 10:14:29.820,2022-09-22 10:14:31.860,2.04,large,large,0 days 00:09:19.820000,0 days 00:09:21.860000,559,561,559.82,561.86,train_24.wav,True
25,25,78,365,539,169,174,29406,2022-09-22 10:14:33.900,2022-09-22 10:14:34.367,0.467,medium,medium_big,0 days 00:09:23.900000,0 days 00:09:24.367000,563,565,563.9000000000001,564.3670000000001,train_25.wav,True
26,26,80,108,260,143,152,21736,2022-09-22 10:14:37.034,2022-09-22 10:14:37.274,0.24,medium,medium_small,0 days 00:09:27.034000,0 days 00:09:27.274000,566,568,567.034,567.274,train_26.wav,True
27,27,82,417,583,170,166,28220,2022-09-22 10:14:36.887,2022-09-22 10:14:37.355,0.468,medium,medium,0 days 00:09:26.887000,0 days 00:09:27.355000,566,568,566.8870000000001,567.355,train_27.wav,True
28,28,84,93,273,154,180,27720,2022-09-22 10:14:40.275,2022-09-22 10:14:40.661,0.386,medium,medium_big,0 days 00:09:30.275000,0 days 00:09:30.661000,569,571,570.2750000000001,570.6610000000001,train_28.wav,True
29,29,86,106,285,199,179,35621,2022-09-22 10:14:49.981,2022-09-22 10:14:50.501,0.52,medium,medium_big,0 days 00:09:39.981000,0 days 00:09:40.501000,579,581,579.981,580.5010000000001,train_29.wav,True
30,30,88,78,249,154,171,26334,2022-09-22 10:15:03.301,2022-09-22 10:15:03.715,0.414,medium,medium_big,0 days 00:09:53.301000,0 days 00:09:53.715000,592,594,593.301,593.715,train_30.wav,True
31,31,90,386,532,141,146,20586,2022-09-22 10:15:59.664,2022-09-22 10:16:00.037,0.373,medium,medium_small,0 days 00:10:49.664000,0 days 00:10:50.037000,648,650,649.664,650.037,train_31.wav,True
32,32,92,357,550,254,193,49022,2022-09-22 10:16:15.038,2022-09-22 10:16:15.464,0.426,medium,medium_big,0 days 00:11:05.038000,0 days 00:11:05.464000,664,666,665.038,665.464,train_32.wav,True
33,33,94,365,537,169,172,29068,2022-09-22 10:16:25.958,2022-09-22 10:16:26.384,0.426,medium,medium_big,0 days 00:11:15.958000,0 days 00:11:16.384000,675,677,675.9580000000001,676.384,train_33.wav,True
34,34,96,389,540,146,151,22046,2022-09-22 10:16:52.132,2022-09-22 10:16:52.452,0.32,medium,medium_small,0 days 00:11:42.132000,0 days 00:11:42.452000,701,703,702.1320000000001,702.452,train_34.wav,True
35,35,98,442,511,166,69,11454,2022-09-22 10:17:06.492,2022-09-22 10:17:06.586,0.094,small,small,0 days 00:11:56.492000,0 days 00:11:56.586000,715,717,716.4920000000001,716.586,train_35.wav,True
36,36,100,72,246,173,174,30102,2022-09-22 10:17:17.906,2022-09-22 10:17:18.213,0.307,medium,medium_big,0 days 00:12:07.906000,0 days 00:12:08.213000,727,729,727.9060000000001,728.2130000000001,train_36.wav,True
37,37,102,370,529,151,159,24009,2022-09-22 10:17:26.653,2022-09-22 10:17:27.053,0.4,medium,medium_small,0 days 00:12:16.653000,0 days 00:12:17.053000,735,737,736.653,737.053,train_37.wav,True
38,38,104,79,146,183,67,12261,2022-09-22 10:18:23.563,2022-09-22 10:18:23.723,0.16,small,small,0 days 00:13:13.563000,0 days 00:13:13.723000,792,794,793.5630000000001,793.7230000000001,train_38.wav,True
39,39,106,86,250,180,164,29520,2022-09-22 10:18:35.403,2022-09-22 10:18:35.963,0.56,medium,medium,0 days 00:13:25.403000,0 days 00:13:25.963000,804,806,805.403,805.9630000000001,train_39.wav,True
40,40,108,387,561,149,174,25926,2022-09-22 10:18:36.109,2022-09-22 10:18:36.536,0.427,medium,medium_big,0 days 00:13:26.109000,0 days 00:13:26.536000,805,807,806.109,806.5360000000001,train_40.wav,True
41,41,110,100,254,148,154,22792,2022-09-22 10:18:38.829,2022-09-22 10:18:39.163,0.334,medium,medium_small,0 days 00:13:28.829000,0 days 00:13:29.163000,807,809,808.8290000000001,809.163,train_41.wav,True
42,42,112,124,303,167,179,29893,2022-09-22 10:19:27.685,2022-09-22 10:19:28.057,0.372,medium,medium_big,0 days 00:14:17.685000,0 days 00:14:18.057000,856,858,857.6850000000001,858.057,train_42.wav,True
43,43,114,99,273,147,174,25578,2022-09-22 10:19:29.511,2022-09-22 10:19:29.911,0.4,medium,medium_big,0 days 00:14:19.511000,0 days 00:14:19.911000,858,860,859.5110000000001,859.9110000000001,train_43.wav,True
44,44,116,63,305,340,242,82280,2022-09-22 10:19:48.058,2022-09-22 10:19:50.126,2.068,large,large,0 days 00:14:38.058000,0 days 00:14:40.126000,878,880,878.0580000000001,880.1260000000001,train_44.wav,True
45,45,118,327,490,147,163,23961,2022-09-22 10:20:10.606,2022-09-22 10:20:11.059,0.453,medium,medium,0 days 00:15:00.606000,0 days 00:15:01.059000,899,901,900.6060000000001,901.059,train_45.wav,True
46,46,120,356,541,161,185,29785,2022-09-22 10:20:52.914,2022-09-22 10:20:53.180,0.266,medium,medium_big,0 days 00:15:42.914000,0 days 00:15:43.180000,942,944,942.914,943.18,train_46.wav,True
47,47,122,344,604,425,260,110500,2022-09-22 10:21:16.221,2022-09-22 10:21:18.755,2.534,large,large,0 days 00:16:06.221000,0 days 00:16:08.755000,966,968,966.221,968.755,train_47.wav,True
48,48,124,379,554,192,175,33600,2022-09-22 10:21:37.715,2022-09-22 10:21:38.169,0.454,medium,medium_big,0 days 00:16:27.715000,0 days 00:16:28.169000,986,988,987.715,988.169,train_48.wav,True
49,49,126,393,572,164,179,29356,2022-09-22 10:21:43.570,2022-09-22 10:21:43.982,0.412,medium,medium_big,0 days 00:16:33.570000,0 days 00:16:33.982000,992,994,993.57,993.982,train_49.wav,True
50,50,128,114,273,154,159,24486,2022-09-22 10:21:44.890,2022-09-22 10:21:45.182,0.292,medium,medium_small,0 days 00:16:34.890000,0 days 00:16:35.182000,994,996,994.89,995.182,train_50.wav,True
51,51,130,367,529,187,162,30294,2022-09-22 10:21:58.956,2022-09-22 10:21:59.423,0.467,medium,medium,0 days 00:16:48.956000,0 days 00:16:49.423000,1008,1010,1008.956,1009.423,train_51.wav,True
52,52,132,94,251,183,157,28731,2022-09-22 10:22:30.757,2022-09-22 10:22:31.037,0.28,medium,medium_small,0 days 00:17:20.757000,0 days 00:17:21.037000,1039,1041,1040.757,1041.037,train_52.wav,True
53,53,134,133,309,260,176,45760,2022-09-22 10:23:09.105,2022-09-22 10:23:09.613,0.508,medium,medium_big,0 days 00:17:59.105000,0 days 00:17:59.613000,1078,1080,1079.105,1079.613,train_53.wav,True
54,54,136,302,542,341,240,81840,2022-09-22 10:23:44.694,2022-09-22 10:23:46.680,1.986,large,large,0 days 00:18:34.694000,0 days 00:18:36.680000,1114,1116,1114.694,1116.68,train_54.wav,True
55,55,138,336,494,162,158,25596,2022-09-22 10:23:50.574,2022-09-22 10:23:50.934,0.36,medium,medium_small,0 days 00:18:40.574000,0 days 00:18:40.934000,1119,1121,1120.574,1120.934,train_55.wav,True
56,56,140,341,509,146,168,24528,2022-09-22 10:24:29.588,2022-09-22 10:24:29.962,0.374,medium,medium,0 days 00:19:19.588000,0 days 00:19:19.962000,1158,1160,1159.588,1159.962,train_56.wav,True
57,57,142,104,265,157,161,25277,2022-09-22 10:24:46.576,2022-09-22 10:24:46.909,0.333,medium,medium,0 days 00:19:36.576000,0 days 00:19:36.909000,1175,1177,1176.576,1176.909,train_57.wav,True
58,58,144,117,273,151,156,23556,2022-09-22 10:24:49.056,2022-09-22 10:24:49.416,0.36,medium,medium_small,0 days 00:19:39.056000,0 days 00:19:39.416000,1178,1180,1179.056,1179.4160000000002,train_58.wav,True
59,59,146,162,322,181,160,28960,2022-09-22 10:24:59.589,2022-09-22 10:24:59.963,0.374,medium,medium_small,0 days 00:19:49.589000,0 days 00:19:49.963000,1188,1190,1189.5890000000002,1189.963,train_59.wav,True
60,60,148,346,565,325,219,71175,2022-09-22 10:25:59.205,2022-09-22 10:25:59.725,0.52,large,large,0 days 00:20:49.205000,0 days 00:20:49.725000,1248,1250,1249.2050000000002,1249.725,train_60.wav,True
61,61,150,370,543,164,173,28372,2022-09-22 10:26:17.672,2022-09-22 10:26:18.085,0.413,medium,medium_big,0 days 00:21:07.672000,0 days 00:21:08.085000,1266,1268,1267.672,1268.085,train_61.wav,True
62,62,152,370,546,161,176,28336,2022-09-22 10:26:20.059,2022-09-22 10:26:20.712,0.653,medium,medium_big,0 days 00:21:10.059000,0 days 00:21:10.712000,1269,1271,1270.059,1270.712,train_62.wav,True
63,63,154,121,297,149,176,26224,2022-09-22 10:26:47.393,2022-09-22 10:26:47.886,0.493,medium,medium_big,0 days 00:21:37.393000,0 days 00:21:37.886000,1296,1298,1297.393,1297.886,train_63.wav,True
64,64,156,66,226,170,160,27200,2022-09-22 10:26:57.887,2022-09-22 10:26:58.193,0.306,medium,medium_small,0 days 00:21:47.887000,0 days 00:21:48.193000,1307,1309,1307.8870000000002,1308.193,train_64.wav,True
65,65,158,403,574,144,171,24624,2022-09-22 10:26:58.633,2022-09-22 10:26:59.233,0.6,medium,medium_big,0 days 00:21:48.633000,0 days 00:21:49.233000,1307,1309,1308.633,1309.2330000000002,train_65.wav,True
66,66,160,75,311,334,236,78824,2022-09-22 10:27:06.421,2022-09-22 10:27:07.861,1.44,large,large,0 days 00:21:56.421000,0 days 00:21:57.861000,1316,1318,1316.421,1317.861,train_66.wav,True
67,67,162,97,274,164,177,29028,2022-09-22 10:27:12.274,2022-09-22 10:27:12.767,0.493,medium,medium_big,0 days 00:22:02.274000,0 days 00:22:02.767000,1321,1323,1322.274,1322.767,train_67.wav,True
68,68,164,51,289,332,238,79016,2022-09-22 10:27:33.248,2022-09-22 10:27:34.582,1.334,large,large,0 days 00:22:23.248000,0 days 00:22:24.582000,1342,1344,1343.248,1344.582,train_68.wav,True
69,69,166,398,565,183,167,30561,2022-09-22 10:27:36.075,2022-09-22 10:27:36.475,0.4,medium,medium,0 days 00:22:26.075000,0 days 00:22:26.475000,1345,1347,1346.075,1346.475,train_69.wav,True
70,70,168,91,247,152,156,23712,2022-09-22 10:27:38.582,2022-09-22 10:27:38.928,0.346,medium,medium_small,0 days 00:22:28.582000,0 days 00:22:28.928000,1347,1349,1348.582,1348.928,train_70.wav,True
71,71,170,146,308,143,162,23166,2022-09-22 10:27:51.343,2022-09-22 10:27:51.689,0.346,medium,medium,0 days 00:22:41.343000,0 days 00:22:41.689000,1360,1362,1361.343,1361.689,train_71.wav,True
72,72,172,363,536,198,173,34254,2022-09-22 10:28:17.689,2022-09-22 10:28:18.156,0.467,medium,medium_big,0 days 00:23:07.689000,0 days 00:23:08.156000,1386,1388,1387.689,1388.1560000000002,train_72.wav,True
73,73,174,121,284,167,163,27221,2022-09-22 10:28:24.090,2022-09-22 10:28:24.504,0.414,medium,medium,0 days 00:23:14.090000,0 days 00:23:14.504000,1393,1395,1394.09,1394.504,train_73.wav,True
74,74,176,129,362,339,233,78987,2022-09-22 10:28:35.957,2022-09-22 10:28:37.904,1.947,large,large,0 days 00:23:25.957000,0 days 00:23:27.904000,1405,1407,1405.957,1407.904,train_74.wav,True
75,75,178,127,288,158,161,25438,2022-09-22 10:28:39.370,2022-09-22 10:28:39.730,0.36,medium,medium,0 days 00:23:29.370000,0 days 00:23:29.730000,1408,1410,1409.37,1409.73,train_75.wav,True
76,76,180,136,293,159,157,24963,2022-09-22 10:28:50.037,2022-09-22 10:28:50.371,0.334,medium,medium_small,0 days 00:23:40.037000,0 days 00:23:40.371000,1419,1421,1420.037,1420.371,train_76.wav,True
77,77,182,118,288,158,170,26860,2022-09-22 10:29:00.065,2022-09-22 10:29:00.371,0.306,medium,medium,0 days 00:23:50.065000,0 days 00:23:50.371000,1429,1431,1430.065,1430.371,train_77.wav,True
78,78,184,131,286,186,155,28830,2022-09-22 10:29:11.518,2022-09-22 10:29:11.918,0.4,medium,medium_small,0 days 00:24:01.518000,0 days 00:24:01.918000,1440,1442,1441.518,1441.918,train_78.wav,True
79,79,186,369,549,166,180,29880,2022-09-22 10:29:20.972,2022-09-22 10:29:21.346,0.374,medium,medium_big,0 days 00:24:10.972000,0 days 00:24:11.346000,1450,1452,1450.972,1451.346,train_79.wav,True
80,80,188,67,234,170,167,28390,2022-09-22 10:29:21.266,2022-09-22 10:29:21.586,0.32,medium,medium,0 days 00:24:11.266000,0 days 00:24:11.586000,1450,1452,1451.266,1451.586,train_80.wav,True
81,81,190,51,268,325,217,70525,2022-09-22 10:29:34.439,2022-09-22 10:29:35.026,0.587,large,large,0 days 00:24:24.439000,0 days 00:24:25.026000,1463,1465,1464.439,1465.026,train_81.wav,True
82,82,192,386,548,146,162,23652,2022-09-22 10:29:39.412,2022-09-22 10:29:39.732,0.32,medium,medium,0 days 00:24:29.412000,0 days 00:24:29.732000,1468,1470,1469.412,1469.7320000000002,train_82.wav,True
83,83,194,109,258,145,149,21605,2022-09-22 10:29:49.199,2022-09-22 10:29:49.507,0.308,medium,medium_small,0 days 00:24:39.199000,0 days 00:24:39.507000,1478,1480,1479.199,1479.507,train_83.wav,True
84,84,196,115,289,168,174,29232,2022-09-22 10:30:17.000,2022-09-22 10:30:17.280,0.28,medium,medium_big,0 days 00:25:07,0 days 00:25:07.280000,1506,1508,1507.0,1507.2800000000002,train_84.wav,True
85,85,198,137,289,165,152,25080,2022-09-22 10:31:00.402,2022-09-22 10:31:00.802,0.4,medium,medium_small,0 days 00:25:50.402000,0 days 00:25:50.802000,1549,1551,1550.402,1550.802,train_85.wav,True
86,86,200,118,274,157,156,24492,2022-09-22 10:31:34.390,2022-09-22 10:31:34.777,0.387,medium,medium_small,0 days 00:26:24.390000,0 days 00:26:24.777000,1583,1585,1584.39,1584.777,train_86.wav,True
87,87,202,67,317,296,250,74000,2022-09-22 10:31:45.791,2022-09-22 10:31:46.803,1.012,large,large,0 days 00:26:35.791000,0 days 00:26:36.803000,1595,1597,1595.7910000000002,1596.803,train_87.wav,True
88,88,204,153,312,188,159,29892,2022-09-22 10:31:51.351,2022-09-22 10:31:51.844,0.493,medium,medium_small,0 days 00:26:41.351000,0 days 00:26:41.844000,1600,1602,1601.351,1601.844,train_88.wav,True
89,89,206,330,575,343,245,84035,2022-09-22 10:32:13.912,2022-09-22 10:32:14.672,0.76,large,large,0 days 00:27:03.912000,0 days 00:27:04.672000,1623,1625,1623.912,1624.672,train_89.wav,True
90,90,208,389,565,217,176,38192,2022-09-22 10:32:28.592,2022-09-22 10:32:29.098,0.506,medium,medium_big,0 days 00:27:18.592000,0 days 00:27:19.098000,1637,1639,1638.592,1639.0980000000002,train_90.wav,True
91,91,210,362,540,199,178,35422,2022-09-22 10:32:48.619,2022-09-22 10:32:49.086,0.467,medium,medium_big,0 days 00:27:38.619000,0 days 00:27:39.086000,1657,1659,1658.619,1659.086,train_91.wav,True
92,92,212,388,552,170,164,27880,2022-09-22 10:33:02.714,2022-09-22 10:33:03.114,0.4,medium,medium,0 days 00:27:52.714000,0 days 00:27:53.114000,1671,1673,1672.7140000000002,1673.114,train_92.wav,True
93,93,214,104,158,181,54,9774,2022-09-22 10:33:06.980,2022-09-22 10:33:07.126,0.146,small,small,0 days 00:27:56.980000,0 days 00:27:57.126000,1676,1678,1676.98,1677.1260000000002,train_93.wav,True
94,94,216,347,601,342,254,86868,2022-09-22 10:33:50.328,2022-09-22 10:33:53.701,3.373,large,large,0 days 00:28:40.328000,0 days 00:28:43.701000,1721,1723,1720.3280000000002,1723.701,train_94.wav,True
95,95,218,384,541,202,157,31714,2022-09-22 10:33:55.488,2022-09-22 10:33:56.115,0.627,medium,medium_small,0 days 00:28:45.488000,0 days 00:28:46.115000,1724,1726,1725.488,1726.115,train_95.wav,True
96,96,220,414,575,169,161,27209,2022-09-22 10:33:58.235,2022-09-22 10:33:58.942,0.707,medium,medium,0 days 00:28:48.235000,0 days 00:28:48.942000,1727,1729,1728.235,1728.942,train_96.wav,True
97,97,222,86,258,196,172,33712,2022-09-22 10:33:58.702,2022-09-22 10:33:59.142,0.44,medium,medium_big,0 days 00:28:48.702000,0 days 00:28:49.142000,1727,1729,1728.702,1729.142,train_97.wav,True
98,98,224,365,536,168,171,28728,2022-09-22 10:34:01.156,2022-09-22 10:34:01.822,0.666,medium,medium_big,0 days 00:28:51.156000,0 days 00:28:51.822000,1730,1732,1731.1560000000002,1731.822,train_98.wav,True
99,99,226,382,556,188,174,32712,2022-09-22 10:34:15.929,2022-09-22 10:34:16.409,0.48,medium,medium_big,0 days 00:29:05.929000,0 days 00:29:06.409000,1745,1747,1745.929,1746.409,train_99.wav,True
100,100,228,149,193,161,44,7084,2022-09-22 10:34:35.729,2022-09-22 10:34:35.837,0.108,small,small,0 days 00:29:25.729000,0 days 00:29:25.837000,1764,1766,1765.729,1765.8370000000002,train_100.wav,True
101,101,230,376,543,148,167,24716,2022-09-22 10:34:39.277,2022-09-22 10:34:39.583,0.306,medium,medium,0 days 00:29:29.277000,0 days 00:29:29.583000,1768,1770,1769.277,1769.583,train_101.wav,True
102,102,232,61,233,156,172,26832,2022-09-22 10:35:26.519,2022-09-22 10:35:26.919,0.4,medium,medium_big,0 days 00:30:16.519000,0 days 00:30:16.919000,1815,1817,1816.519,1816.919,train_102.wav,True
103,103,234,381,553,150,172,25800,2022-09-22 10:35:29.119,2022-09-22 10:35:29.531,0.412,medium,medium_big,0 days 00:30:19.119000,0 days 00:30:19.531000,1818,1820,1819.119,1819.531,train_103.wav,True
104,104,236,371,524,153,153,23409,2022-09-22 10:35:40.732,2022-09-22 10:35:41.092,0.36,medium,medium_small,0 days 00:30:30.732000,0 days 00:30:31.092000,1829,1831,1830.732,1831.092,train_104.wav,True
105,105,238,77,239,169,162,27378,2022-09-22 10:35:41.385,2022-09-22 10:35:41.732,0.347,medium,medium,0 days 00:30:31.385000,0 days 00:30:31.732000,1830,1832,1831.385,1831.732,train_105.wav,True
106,106,240,134,288,157,154,24178,2022-09-22 10:35:52.225,2022-09-22 10:35:52.572,0.347,medium,medium_small,0 days 00:30:42.225000,0 days 00:30:42.572000,1841,1843,1842.225,1842.572,train_106.wav,True
107,107,242,130,298,167,168,28056,2022-09-22 10:35:56.092,2022-09-22 10:35:56.572,0.48,medium,medium,0 days 00:30:46.092000,0 days 00:30:46.572000,1845,1847,1846.092,1846.572,train_107.wav,True
108,108,244,346,506,188,160,30080,2022-09-22 10:36:39.454,2022-09-22 10:36:39.854,0.4,medium,medium_small,0 days 00:31:29.454000,0 days 00:31:29.854000,1888,1890,1889.454,1889.854,train_108.wav,True
109,109,246,375,531,146,156,22776,2022-09-22 10:37:16.002,2022-09-22 10:37:16.455,0.453,medium,medium_small,0 days 00:32:06.002000,0 days 00:32:06.455000,1925,1927,1926.002,1926.455,train_109.wav,True
110,110,248,381,559,164,178,29192,2022-09-22 10:37:24.363,2022-09-22 10:37:24.749,0.386,medium,medium_big,0 days 00:32:14.363000,0 days 00:32:14.749000,1933,1935,1934.363,1934.749,train_110.wav,True
111,111,250,118,351,339,233,78987,2022-09-22 10:37:35.909,2022-09-22 10:37:37.896,1.987,large,large,0 days 00:32:25.909000,0 days 00:32:27.896000,1945,1947,1945.909,1947.896,train_111.wav,True
112,112,252,114,273,159,159,25281,2022-09-22 10:37:40.629,2022-09-22 10:37:40.936,0.307,medium,medium_small,0 days 00:32:30.629000,0 days 00:32:30.936000,1949,1951,1950.629,1950.936,train_112.wav,True
113,113,254,379,541,181,162,29322,2022-09-22 10:37:45.604,2022-09-22 10:37:45.910,0.306,medium,medium,0 days 00:32:35.604000,0 days 00:32:35.910000,1954,1956,1955.604,1955.91,train_113.wav,True
114,114,256,398,568,164,170,27880,2022-09-22 10:37:56.270,2022-09-22 10:37:56.697,0.427,medium,medium,0 days 00:32:46.270000,0 days 00:32:46.697000,1965,1967,1966.27,1966.697,train_114.wav,True
115,115,258,365,536,161,171,27531,2022-09-22 10:37:59.524,2022-09-22 10:37:59.910,0.386,medium,medium_big,0 days 00:32:49.524000,0 days 00:32:49.910000,1968,1970,1969.524,1969.91,train_115.wav,True
116,116,260,395,565,166,170,28220,2022-09-22 10:39:08.139,2022-09-22 10:39:08.459,0.32,medium,medium,0 days 00:33:58.139000,0 days 00:33:58.459000,2037,2039,2038.139,2038.459,train_116.wav,True
117,117,262,391,559,158,168,26544,2022-09-22 10:39:21.420,2022-09-22 10:39:21.807,0.387,medium,medium,0 days 00:34:11.420000,0 days 00:34:11.807000,2050,2052,2051.42,2051.807,train_117.wav,True
118,118,264,88,281,227,193,43811,2022-09-22 10:39:23.260,2022-09-22 10:39:23.860,0.6,medium,medium_big,0 days 00:34:13.260000,0 days 00:34:13.860000,2052,2054,2053.26,2053.86,train_118.wav,True
119,119,266,401,560,157,159,24963,2022-09-22 10:39:23.833,2022-09-22 10:39:24.233,0.4,medium,medium_small,0 days 00:34:13.833000,0 days 00:34:14.233000,2053,2055,2053.833,2054.233,train_119.wav,True
120,120,268,88,255,168,167,28056,2022-09-22 10:39:26.273,2022-09-22 10:39:26.740,0.467,medium,medium,0 days 00:34:16.273000,0 days 00:34:16.740000,2055,2057,2056.273,2056.74,train_120.wav,True
121,121,270,69,276,226,207,46782,2022-09-22 10:39:50.020,2022-09-22 10:39:50.528,0.508,medium,medium_big,0 days 00:34:40.020000,0 days 00:34:40.528000,2079,2081,2080.02,2080.528,train_121.wav,True
122,122,272,115,274,161,159,25599,2022-09-22 10:40:15.275,2022-09-22 10:40:15.569,0.294,medium,medium_small,0 days 00:35:05.275000,0 days 00:35:05.569000,2104,2106,2105.275,2105.569,train_122.wav,True
123,123,274,115,275,164,160,26240,2022-09-22 10:41:30.557,2022-09-22 10:41:30.917,0.36,medium,medium_small,0 days 00:36:20.557000,0 days 00:36:20.917000,2179,2181,2180.557,2180.917,train_123.wav,True
124,124,276,120,278,148,158,23384,2022-09-22 10:42:25.599,2022-09-22 10:42:25.973,0.374,medium,medium_small,0 days 00:37:15.599000,0 days 00:37:15.973000,2234,2236,2235.599,2235.973,train_124.wav,True
125,125,278,98,279,170,181,30770,2022-09-22 10:42:28.026,2022-09-22 10:42:28.414,0.388,medium,medium_big,0 days 00:37:18.026000,0 days 00:37:18.414000,2237,2239,2238.0260000000003,2238.414,train_125.wav,True
